year,region,area,age_group,sex,value,unit,source
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,75 ปีขึ้นไป,ชาย,131321,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,75 ปีขึ้นไป,ชาย,104473,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,75 ปีขึ้นไป,ชาย,133676,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,75 ปีขึ้นไป,ชาย,62904,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,60-64 ปี,หญิง,1097900,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,60-64 ปี,หญิง,349075,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,60-64 ปี,หญิง,748825,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,60-64 ปี,หญิง,121832,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-64 ปี,หญิง,272645,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,60-64 ปี,หญิง,215386,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,60-64 ปี,หญิง,353433,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,60-64 ปี,หญิง,134606,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,65-69 ปี,หญิง,894711,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,65-69 ปี,หญิง,280590,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,65-69 ปี,หญิง,614120,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,65-69 ปี,หญิง,94796,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,65-69 ปี,หญิง,228296,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,65-69 ปี,หญิง,188815,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,65-69 ปี,หญิง,274040,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,65-69 ปี,หญิง,108765,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,70-74 ปี,หญิง,600426,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,70-74 ปี,หญิง,182652,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,70-74 ปี,หญิง,417774,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,70-74 ปี,หญิง,56832,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-74 ปี,หญิง,153947,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,70-74 ปี,หญิง,132747,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,70-74 ปี,หญิง,187499,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,70-74 ปี,หญิง,69402,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,75 ปีขึ้นไป,หญิง,646898,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,75 ปีขึ้นไป,หญิง,210865,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,75 ปีขึ้นไป,หญิง,436032,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,75 ปีขึ้นไป,หญิง,73318,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,75 ปีขึ้นไป,หญิง,188424,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,75 ปีขึ้นไป,หญิง,132214,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,75 ปีขึ้นไป,หญิง,175418,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,75 ปีขึ้นไป,หญิง,77524,คน,สำนักงานสถิติแห่งชาติ
